"filename", "language", "Python", "Markdown", "pip requirements", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\augmentation_test\train_og\annotations.coco.json", "JSON", 0, 0, 0, 449632, 0, 0, 0, 449632
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\augmentation_test\valid\annotations.coco.json", "JSON", 0, 0, 0, 90906, 0, 0, 0, 90906
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\augmentations_test.py", "Python", 131, 0, 0, 0, 0, 18, 62, 211
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\check_bboxes.py", "Python", 21, 0, 0, 0, 0, 10, 16, 47
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\combinations.py", "Python", 22, 0, 0, 0, 0, 6, 12, 40
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data\test\annotations.coco.json", "JSON", 0, 0, 0, 28574, 0, 0, 0, 28574
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data\train\annotations.coco.json", "JSON", 0, 0, 0, 1496, 0, 0, 0, 1496
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data\valid\annotations.coco.json", "JSON", 0, 0, 0, 1292, 0, 0, 0, 1292
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_raw\_annotations.coco.json", "JSON", 0, 0, 0, 31221, 0, 0, 0, 31221
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_raw\test_annotations.coco.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_raw\train_annotations.coco.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_raw\val_annotations.coco.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_raw_stickers\annotations.json", "JSON", 0, 0, 0, 492937, 0, 0, 0, 492937
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers copy\test\annotations.coco.json", "JSON", 0, 0, 0, 9414, 0, 0, 0, 9414
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers copy\train\annotations.coco.json", "JSON", 0, 0, 0, 402039, 0, 0, 1, 402040
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers copy\valid\annotations.coco.json", "JSON", 0, 0, 0, 90906, 0, 0, 0, 90906
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers\augmented\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers\test\annotations.coco.json", "JSON", 0, 0, 0, 9414, 0, 0, 0, 9414
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers\train\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\data_stickers\valid\annotations.coco.json", "JSON", 0, 0, 0, 90906, 0, 0, 0, 90906
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\dataset_def_pl.py", "Python", 88, 0, 0, 0, 0, 5, 52, 145
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\final_test.py", "Python", 55, 0, 0, 0, 0, 32, 33, 120
